Pearl,Ethoslab,Scar,Grian,Zedaph,Hypnotizd,TangoTek,Cubfan135,Keralis,Geminitay,impulseSV,XB,Docm77,VintageBeef,Xisuma,JoeHills,iskall85,Stress,iJevin,RenDog,ZombieCleo,BdoubleO100,Run No.
,,986.1694915,,,,,1000.0,,,,,,,,,,,,,,,1
,,,,,1000.0,,986.1694915,,,,,,,,,,,,,,,2
,,,,,986.1694915,,,,,,,,,1000.0,,,,,,,,3
,,,,,,,,,1000.0,,,,,986.1694915,,,,,,,,4
,,,,,,,,,986.1694915,,,,,,,,,,,,1000.0,5
,,,1000.0,,,,,,,,,,,,,,,,,,977.2307692,6
,1000.0,,986.1694915,,,,,,,,,,,,,,,,,,,7
,1018.169492,986.1694915,,,,,,,,,,,,,,,,,,,,8
,,1004.338983,,,,,986.1694915,,,,,,,,,,,,,,,9
,,,,,986.1694915,,982.8874402,,,,,,,,,,,,,,,10
,,,,,972.3389831,,,,,,,,,986.1694915,,,,,,,,11
,,,,,,,,,,,,,,972.3389831,,,,,,,977.2307692,12
,,,986.1694915,,,,,,,,,,,,,,,,,,963.4002608,13
,,,1004.338983,,,,,,986.1694915,,,,,,,,,,,,,14
,,1004.338983,,,,,,,1004.338983,,,,,,,,,,,,,15
,1018.169492,990.5084746,,,,,,,,,,,,,,,,,,,,16
,1036.338983,,,,,,982.8874402,,,,,,,,,,,,,,,17
,,,,,972.3389831,,1001.056932,,,,,,,,,,,,,,,18
,,,1004.338983,,990.5084746,,,,,,,,,,,,,,,,,19
,,,1022.508475,,,,,,1004.338983,,,,,,,,,,,,,20
,,,,,,,,,1022.508475,1000.0,,,,,,,,,,,,21
,,990.5084746,,,,,,,,1018.169492,,,,,,,,,,,,22
,1036.338983,976.6779661,,,,,,,,,,,,,,,,,,,,23
,1033.056932,,,,,,,,,,,,,,,,,1000.0,,,,24
,,,,,,,,,,1018.169492,,,,,,,,986.1694915,,,,25
,,,,,,,,,,1036.338983,,,,,,,,986.1694915,,,,26
,,,,,,,,,1022.508475,,,,,,,,,1004.338983,,,,27
,,976.6779661,,,,,,,1019.226423,,,,,,,,,,,,,28
,,994.8474576,,,,,,,,,,,,972.3389831,,,,,,,,29
,,,,,,,,,,,,,,958.5084746,,1000.0,,,,,,30
,,,,,,,,,,,,,,958.5084746,,986.1694915,,,,,,31
,,,,,,,,,,,,,,944.6779661,,986.1694915,,,,,,32
,,,,,,,,,,,,,,944.6779661,,972.3389831,,,,,,33
,,,,,,,,,,,,,,930.8474576,,972.3389831,,,,,,34
,,,,,,,,,,,,,,949.0169492,,972.3389831,,,,,,35
,,,,1000.0,,,,,,,,,,,,990.5084746,,,,,,36
,,,,986.1694915,,,,,,,,,,,,,,,,,,37
,,,,1004.338983,,,,,,,,,,,,,,,,,,38
,,994.8474576,,,,,,,,,,,,,,,,,,,,39
,,1013.016949,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,1000.0,,43
,,,,,,,,,,,,1000.0,,,,,,,,1018.169492,,44
,,,,,,,,,,,,986.1694915,,949.0169492,,,,,,,,45
,,,,,,,1001.056932,,,,,,,967.1864407,,,,,,,,46
,,,,,,,1019.226423,,1019.226423,,,,,,,,,,,,,47
,,,,,,,,,1005.395915,,,,,,,,,,,1018.169492,,48
,,,,,,,,,,,,986.1694915,,,,,,,,1004.338983,,49
,,,,,,,,,,,,972.3389831,,967.1864407,,,,,,,,50
,,,,,,,1019.226423,,,,,,,944.4172099,,,,,,,,51
,,,,,,,1037.395915,,1005.395915,,,,,,,,,,,,,52
,,,1022.508475,,,,,,991.5654063,,,,,,,,,,,,,53
,,,1031.739244,,990.5084746,,,,,,,,,,,,,,,,,54
,,,,,999.7392438,,,,,,,972.3389831,,,,,,,,,,55
,,,,,,,,,,,,990.5084746,,944.4172099,,,,,,,,56
,,,,,,,1037.395915,,,,,,,930.5867014,,,,,,,,57
,,1013.016949,,,,,1023.565406,,,,,,,,,,,,,,,58
,,999.1864407,1031.739244,,,,,,,,,,,,,,,,,,,59
,,,1040.970013,,999.7392438,,,,,,,,,,,,,,,,,60
,,,,,996.4571925,,,,,,,990.5084746,,,,,,,,,,61
,,,,,,,,,,,,976.6779661,,,,,,1004.338983,,,,62
,,,,,,,,,,,,,,,,,,1001.056932,,,963.4002608,63
,,,,,,,1023.565406,,,,,,,,,,,,,,940.63103,64
,,,,,,,1032.796176,,,,,,,,,,,,,1004.338983,,65
,,,,,996.4571925,,,,,,,,,,,,,,,1022.508475,,66
,,,,,993.1751412,,,,,,,976.6779661,,,,,,,,,,67
,,,,,,,,,,,,953.9087353,,,,,,1001.056932,,,,68
,,,,,,,,,,,,,,,,,,997.7748805,,,940.63103,69
,,,,,,,,,,,,,,,,,,997.7748805,,,958.8005215,70
,,,,,,,,,,,,,,,,,,994.4928292,,,,71
,,,,,,,,,,,,,,,,,,1003.723598,,,,72
,,,,,,,,,,,,,,930.5867014,,,,1012.954368,,,,73
,,,,,,,,,,,,,,948.756193,,,,,,,,74
,,,,,,,,,,,,,,966.9256845,,,1000.0,,,,,75
,,,,,,,,,,,,,,,,,986.1694915,,,,,76
,,,,,,,,,,,,,,,,,972.3389831,,,,,77
,,,,,,,,,,,,,,,,,958.5084746,,,,,78
,,,,1004.338983,,,,,,,,,,,,,944.6779661,,,,,79
,,,,990.5084746,,,,,,,,,,,,,,,,,,80
,,,,1008.677966,,,,,,,,,,,1000.0,,,,,,,81
,,,,,,,,,,,,,,,986.1694915,,,,,,,82
,,,,,,,,,,,,,,,972.3389831,,,,,,,83
1000.0,,,,,,,,,,,,,,,990.5084746,,,,,,,84
986.1694915,,,,,,,,,,,,,,,,,,,,1022.508475,,85
986.1694915,,,,,,,,,,,,,,,,,,,,1008.677966,,86
972.3389831,,,,,,,,,,,,,,,,,,,,1008.677966,,87
958.5084746,,,,,,,,,,,,,,,,,,,,1008.677966,,88
958.5084746,,,,,,,,,,,,,,,,,,,,994.8474576,,89
976.6779661,,,1040.970013,,,,,,,,,,,,,,,,,,,90
976.6779661,,,1050.200782,,,,,,,,,,,,,,,,,,,91
994.8474576,,,,,,,,,,,,,,,,,,,,,,92
991.5654063,,,,,,,,,,,,,,,,,,,,,,93
988.2833551,,,,,,,,,,,,,,,,,,,,,,94
997.5141243,,,,,,,1032.796176,,,,,,,,,,,,,,,95
,,,,,,,1010.026945,,,,,,,,,,,,,,,96
,,,1050.200782,,,,1006.744894,,,,,,,,,,,,,,,97
,,,1027.431551,,,,,,,,,,,,,,,,,,,98
,,,1036.662321,,,,,,,,,,,,990.5084746,,,,,,,99
,,,,,,,,,,,,,,,1008.677966,,,1012.954368,,,,100
,,,,,,,,,,,,,,,,,,1022.185137,,994.8474576,,101
,1033.056932,,,,,,,,,,,,,,,,,,,981.0169492,,102
,1029.77488,,,,,,,,,,,,,,,,,,,981.0169492,,103
,1029.77488,,,,,,,,,,,,,,,,,,,999.1864407,,104
,1039.00565,,,,,,,,991.5654063,,,,,,,,,,,,,105
,1039.00565,,,,,,,,1000.796176,,,,,,,,,,,,,106
,1048.236419,,,,,,1006.744894,,,,,,,,,,,,,,,107
,,,,,,,1003.462842,,,,,,,,,,,,,,,108
,,,,,,,1012.693611,,,,,,,,1008.677966,,,,,,,109
,,,,,,,1012.693611,,,,,,,,985.9087353,,,,,,,110
,,,,,,,989.9243807,,,,,,,,,,,,,,,111
,,,,,,,986.6423294,,,,,,,,,,,,,,,112
,,,,,,,995.8730987,,,,,,,,985.9087353,,,,,,,113
,,,,,,,,,,,,,,,982.6266841,,,,1000.0,,,114
,,,,,,,,,,,,,,,,,,,986.1694915,,,115
,,,,,,,,,,,,,,,,,,,972.3389831,,,116
,,,,,,,,,,,,,,,,,,,958.5084746,,,117
,,,,,,,,,1000.796176,,,,,,,,,,976.6779661,,,118
,,,,,,,,,1010.026945,,,,,,982.6266841,,,,,,,119
,,,,,,,,,,,,,,,979.3446328,,,,,,,120
,,,,,,,,,,1036.338983,,,,,988.575402,,,,,,,121
,,,,,,,,,,1022.508475,,,,,,,,,,,,122
,,,,,,,,,,1019.226423,,,,,,,,,,,,123
,,,,,,,,,,1005.395915,,,,,,,,,,,,124
,,,,,,,,,,991.5654063,,,,,,,,,,,,125
,,,,,,,,,,991.5654063,,,,,,,,,,,,126
,,,,,,,,,,991.5654063,,,,,,,,,,,,127
,,,,,,,,,,1009.734898,,,,,,,,,,,,128
,,,,,,,,,,1018.965667,,,,,,,,,,,958.8005215,129
,,,,,,,,,,1018.965667,,,,,,,,,,,944.970013,130
,,,,,,,,,,1028.196436,,,,,,,,,,,944.970013,131
,,,,,,,,,,1022.378255,,,,,,,,,,,944.970013,132
,,,,,,,,,,,,,,,,,,,,999.1864407,931.1395046,133
,,,,,,,,,,,,,,,,,,,,995.9043894,,134
,,,,,,,,,,,,,,,,,,,,973.1351586,,135
,,,,,,,,,,,,,,,,,,,,950.3659279,,136
,,,,,,,,,,,,,,,,,,,,947.0838766,,137
,,,,,,,,,,,1000.0,,,,,,,,,933.2533681,,138
,,,,,,,,,,,1018.169492,,,,,,,,,,,139
,,,,,993.1751412,,,,,,,,,,,,,,,,,140
,,,,,1002.40591,,,,1010.026945,,,,,,,,,,,,,141
,,,,,,,,,1028.196436,,,,,,,,,,,,,142
,,,,1008.677966,,,,,1024.914385,,,,,,,,,,,,,143
,,,,1026.847458,,,,,,,,,,,,,,,,,,144
,,,,,,,,,,,,,,,,,,,,,,145
,,,,,,,,,,,,,,,,,,,,,,146
,,,,,,,,,,,,,,,,,,,,,,147
,,,,,1002.40591,,,,,,,,,,,,,,,,,148
,,,,,1028.587729,,,,,,,,,,,,,,,,,149
,,,,,1022.769547,,,,,,,,,,,,,,,,,150
,,,,,1016.951365,,,,,,,,,,,,,,,,,151
,,,,,1011.133183,,,,,,,,,,,,,,,,,152
,,999.1864407,,,1005.315001,,,,,,,,,,,,,,,,,153
,,1017.355932,,,,,,,,,,,,,,,,,,,,154
,,1003.525424,,,,,,,,,,,,,,,,,,,,155
,,989.6949153,,,,,,,,,,,,,,,,,976.6779661,,,156
,,989.6949153,,,,,,,,,,,1000.0,,,,,,994.8474576,,,157
,,989.6949153,,,,,,,,,,,986.1694915,,,,,,,,,158
,,1018.412864,,,,,,,,,,,,,,,,,,,,159
,1048.236419,1027.643633,,,,,,,,,,,,,,,,,,,,160
,1076.954368,1027.643633,,,,,,,,,,,,,,,,,,,,161
,,1036.874402,,,,1000.0,,,,,,,,,,,,,,,,162
,,,,,,986.1694915,,,,,,,,,,,,,,,,163
,,,,,,1004.338983,,,,,,,,,,,,,,,,164
,,,,,,1022.508475,,,,,,,,,,,,,,,,165
,,,,,,1031.739244,,,,,,,,,,,,,,,,166
,,,,,,1031.739244,,,,,,,,,,,,,,,,167
,,,,,,1025.921062,,,,,,,,,,,,,,,,168
,,,,,,1025.921062,,,,,,,,,,,,,,,,169
,,,,,,1022.639011,,,,,,,,,,,,1022.185137,,,,170
,,,,,,,,,,,,,,,,,,1018.903086,,,,171
,,,,,,,,,,,,,,,,990.5084746,,1015.621034,,,,172
,,,,,,,,,,,,,,,,1008.677966,,,,,,173
,,,,,,,,,,,,,,,,1026.847458,,,,,,174
,,,,,,,,,,,,,,,,1023.565406,,,,,,175
,,,1036.662321,,,,,,,,,,,,,1032.796176,,,,,,176
,,,1033.380269,,,,,,,,,,,,,1032.796176,,,,,,177
,,,1033.380269,,,,,,,,,,,,,1010.026945,,,,,,178
,,,1033.380269,,,,,,,,,,,,,1019.257714,,,,,,179
,,,1065.380269,,,,,,,,,,,,,,,,,,,180
,1076.954368,,1062.098218,,,,,,,,,,,,,,,,,,,181
,1108.954368,,,,,,,,,,,,,,,,,,,,,182
,,,,,,,,,,,,953.9087353,,,,,,,,,,183
,,,,,,,,,,,,963.1395046,,,,,,,,,,184
,,,,,,,,,,,,,,,988.575402,,,,,,,185
,,,,,,,,,,,,,,,985.2933507,,,,,,,186
,,,,,,,,,,,,,,,985.2933507,,,,,,,187
,,,,,,,,,,,,,,,994.5241199,,,,,,,188
,,,,,,,,,,,,,,,991.2420687,,,,,,931.1395046,189
,,,,,,,,,,,,,,,,,,,,,917.3089961,190
,,,,,,,,,,,,,,,,,,,,,935.4784876,191
,,,,,,,,,,,,,,,,,,,,,921.6479791,192
,,1036.874402,,,,,,,,,,,,,,,,,,,907.8174707,193
,,1046.105172,,,,,,,,,,,,,,,,,,,,194
,,1055.335941,,,,,,,,,,,,,,,,,,,,195
,,1049.517759,,,,,,,,,,,,,,,,,,,,196
,,,,,,,,,,,,963.1395046,,,,,,,,,,197
997.5141243,,,,,,,,,,,,995.1395046,,,,,,,,,,198
1015.683616,,,,,,,,,,,,,,,,,,,,,,199
1001.853107,,,,,,,,,,,,,,,,,,,,,,200
1011.083877,,,,,,,,,,,,,986.1694915,,,,,,,,,201
1011.083877,,,,,,,,,,,,,1004.338983,,,,,,,,,202
1020.314646,,,,,,,,,,,,,1004.338983,,,,,,,,,203
1020.314646,,,,,,,,,,,,,990.5084746,,,,,,,,,204
997.545415,,,,1026.847458,,,,,,,,,,,,,,,,,,205
997.545415,,,,1013.016949,,,,,,,,,,,,,,,,,,206
1006.776184,,,,1013.016949,,,,,,,,,,,,,,,,,,207
,,,,1009.734898,,,,,,,,,,,,,,,,,,208
,,,,1006.452847,,,,,,,,,,,,,,,,,,209
,,,,1024.622338,,,,,,,,,,,,,,,,,,210
,,,,1053.340287,,,,,,,,,,,,,,,,,,211
,,,,1050.058236,,,,,,,,,,,,,,,,,,212
,,,,1046.776184,1005.315001,,,,,,,,,,,,,,,,,213
1006.776184,,,,,1031.49682,,,,,,,,,,,,,,,,,214
1003.494133,,,,,,,,,,,,,,,,,,,994.8474576,,,215
,,,,,,,,,,,,,,,,,,,981.0169492,,,216
,,,,,1031.49682,,,,,,,,,,,,,,967.1864407,,,217
,,,,,1025.678638,,,,,,,,,,,,,,967.1864407,,,218
,,,,,,,,,,,,,,,,,,,953.3559322,,,219
,,,,,,,,,,,,,,,,,,,939.5254237,,,220
,,,,,,,,,,,,,,,,,,,,,,221
,1108.954368,,,,,,,,,,,,,,,,,,,,,222
,1086.185137,,,,,,,,,,,,,,,,,,,,,223
,1095.415906,,,,,,,,,,,,,,,,,,,,,224
,1092.133855,,,,,,,,,,,,,,,,,,,,,225
,1101.364624,,,,,,,,,,,,,,,,,,,,,226
,1110.595393,,,,,,,,,,,,,,,,,,,,,227
,1119.826163,,1062.098218,,,,,,,,,,,,,,,,,,,228
,,,1058.816167,,,,,,,,,,,,991.2420687,,,,,,,229
,,,,,,,,,,,,,,,1000.472838,,,,,,,230
,,,,,,,,,,,,,,,994.6546561,1019.257714,,,,,,231
,,,,,,,,1000.0,,,,,,,,996.4884833,,,,,,232
,,,,,,,,1018.169492,,,,,,,,,,,,,,233
,,,,,,,,1004.338983,,,,,,,,,,,,,,234
,,,,,,,,1022.508475,,,,,,,,,,,,,,235
,,,,,,,,1051.226423,,,,,,,,,,,,,,236
,,,,,,,,1028.457193,,,,,,,,,,,,,,237
,,,,,,,,,,,,,,,,,,,,,,238
,,,,,,,,,,,,,990.5084746,,,,,,,,,239
,,,,,,,,,,,,,1008.677966,,,,,,,,,240
,,,1058.816167,,,,,,,,,,994.8474576,,,,,,,,,241
1003.494133,1119.826163,1049.517759,1068.046936,1046.776184,1025.678638,1022.639011,995.8730987,1028.457193,1024.914385,1022.378255,1018.169492,995.1395046,994.8474576,966.9256845,994.6546561,996.4884833,944.6779661,1015.621034,939.5254237,933.2533681,907.8174707,242
